(1514869200000,[(5a4af08f7c459f246b63d781,1023), (5a4bd8c47c459f246b63d8d1,936), (5a4a0a2a7c459f246b63d6c0,626)])
(1514872800000,[(5a4af08f7c459f246b63d781,988), (5a4bd8c47c459f246b63d8d1,955), (5a4a0a2a7c459f246b63d6c0,626)])
(1514876400000,[(5a4bd8c47c459f246b63d8d1,969), (5a4af08f7c459f246b63d781,961), (5a4a0a2a7c459f246b63d6c0,626)])
(1514880000000,[(5a4bd8c47c459f246b63d8d1,979), (5a4af08f7c459f246b63d781,932), (5a4b432c7c459f246b63d7db,646)])
(1514883600000,[(5a4bd8c47c459f246b63d8d1,985), (5a4af08f7c459f246b63d781,915), (5a4b432c7c459f246b63d7db,651)])
(1514887200000,[(5a4bd8c47c459f246b63d8d1,986), (5a4af08f7c459f246b63d781,895), (5a4b432c7c459f246b63d7db,661)])
(1514890800000,[(5a4bd8c47c459f246b63d8d1,1000), (5a4af08f7c459f246b63d781,866), (5a4b432c7c459f246b63d7db,668)])
(1514894400000,[(5a4bd8c47c459f246b63d8d1,1006), (5a4af08f7c459f246b63d781,810), (5a4b432c7c459f246b63d7db,684)])
(1514898000000,[(5a4bd8c47c459f246b63d8d1,1034), (5a4af08f7c459f246b63d781,717), (5a4b432c7c459f246b63d7db,692)])
(1514901600000,[(5a4bd8c47c459f246b63d8d1,1070), (5a4b432c7c459f246b63d7db,687), (5a4af08f7c459f246b63d781,627)])
(1514905200000,[(5a4bd8c47c459f246b63d8d1,1100), (5a4b432c7c459f246b63d7db,681), (5a4a0a2a7c459f246b63d6c0,527)])
(1514908800000,[(5a4bd8c47c459f246b63d8d1,1125), (5a4b432c7c459f246b63d7db,671), (5a4a0a2a7c459f246b63d6c0,440)])
(1514912400000,[(5a4bd8c47c459f246b63d8d1,1140), (5a4b432c7c459f246b63d7db,658), (5a4c35f07c459f246b63d98e,412)])
(1514916000000,[(5a4bd8c47c459f246b63d8d1,1151), (5a4b432c7c459f246b63d7db,646), (5a4c35f07c459f246b63d98e,555)])
(1514919600000,[(5a4bd8c47c459f246b63d8d1,1152), (5a4c35f07c459f246b63d98e,645), (5a4b432c7c459f246b63d7db,590)])
(1514923200000,[(5a4bd8c47c459f246b63d8d1,946), (5a4c35f07c459f246b63d98e,694), (5a4b432c7c459f246b63d7db,528)])
(1514926800000,[(5a4bd8c47c459f246b63d8d1,769), (5a4c35f07c459f246b63d98e,734), (5a4e76657c459f29e79b21da,718)])
(1514930400000,[(5a4e76657c459f29e79b21da,948), (5a4c35f07c459f246b63d98e,756), (5a4bd8c47c459f246b63d8d1,618)])
(1514934000000,[(5a4e76657c459f29e79b21da,1148), (5a4c35f07c459f246b63d98e,769), (5a4bd8c47c459f246b63d8d1,502)])
(1514937600000,[(5a4e76657c459f29e79b21da,1284), (5a4c35f07c459f246b63d98e,782), (5a4e75c47c459f29e79b20d7,487)])
(1514941200000,[(5a4e76657c459f29e79b21da,1396), (5a4c35f07c459f246b63d98e,792), (5a4e75c47c459f29e79b20d7,495)])
(1514944800000,[(5a4e76657c459f29e79b21da,1460), (5a4c35f07c459f246b63d98e,798), (5a4e75c47c459f29e79b20d7,501)])
(1514948400000,[(5a4e76657c459f29e79b21da,1537), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,510)])
(1514952000000,[(5a4e76657c459f29e79b21da,1579), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,546)])
(1514955600000,[(5a4e76657c459f29e79b21da,1579), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,568)])
(1514959200000,[(5a4e76657c459f29e79b21da,1579), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,592)])
(1514962800000,[(5a4e76657c459f29e79b21da,1581), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,609)])
(1514966400000,[(5a4e76657c459f29e79b21da,1597), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,621)])
(1514970000000,[(5a4e76657c459f29e79b21da,1620), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,637)])
(1514973600000,[(5a4e76657c459f29e79b21da,1639), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,647)])
(1514977200000,[(5a4e76657c459f29e79b21da,1662), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,658)])
(1514980800000,[(5a4e76657c459f29e79b21da,1696), (5a4c35f07c459f246b63d98e,799), (5a4e76a07c459f29e79b223a,673)])
