(1518048000000,[(5a83091a10f40f00018c0b9f,1492), (5a7df695068401528a290447,1336), (5a81b1b210f40f00018c07ec,1229)])
(1518134400000,[(5a83091a10f40f00018c0b9f,1492), (5a849ba210f40f00018c1072,1431), (5a7df695068401528a290447,1336)])
(1518220800000,[(5a86396710f40f00018c14f8,1510), (5a83091a10f40f00018c0b9f,1492), (5a849ba210f40f00018c1072,1431)])
(1518307200000,[(5a8720c810f40f00018c176e,1774), (5a86396710f40f00018c14f8,1545), (5a87176810f40f00018c174e,1503)])
(1518393600000,[(5a8720c810f40f00018c176e,1774), (5a86396710f40f00018c14f8,1545), (5a87176810f40f00018c174e,1503)])
(1518480000000,[(5a8720c810f40f00018c176e,1774), (5a86396710f40f00018c14f8,1545), (5a8a0a5110f40f00018c1b84,1522)])
(1518566400000,[(5a8720c810f40f00018c176e,1774), (5a86396710f40f00018c14f8,1545), (5a8a0a5110f40f00018c1b84,1522)])
(1518652800000,[(5a8720c810f40f00018c176e,1774), (5a86396710f40f00018c14f8,1545), (5a8a0a5110f40f00018c1b84,1522)])
(1518739200000,[(5a8720c810f40f00018c176e,1774), (5a8de57210f40f00018c245d,1554), (5a86396710f40f00018c14f8,1545)])
(1518825600000,[(5a8de57210f40f00018c245d,1587), (5a8a0a5110f40f00018c1b84,1522), (5a8db18010f40f00018c23bb,1444)])
(1518912000000,[(5a8de57210f40f00018c245d,1587), (5a8a0a5110f40f00018c1b84,1522), (5a8db18010f40f00018c23bb,1444)])
(1518998400000,[(5a8de57210f40f00018c245d,1587), (5a8a0a5110f40f00018c1b84,1522), (5a8db18010f40f00018c23bb,1444)])
(1519084800000,[(5a8de57210f40f00018c245d,1587), (5a8db18010f40f00018c23bb,1444), (5a8ec1a510f40f00018c2684,1353)])
(1519171200000,[(5a8de57210f40f00018c245d,1587), (5a8db18010f40f00018c23bb,1444), (5a944d5210f40f00018c31ed,1404)])
(1519257600000,[(5a8db18010f40f00018c23bb,1444), (5a8de57210f40f00018c245d,1404), (5a944d5210f40f00018c31ed,1404)])
