(1514952000000,[(5a4bd8c47c459f246b63d8d1,31), (5a4b432c7c459f246b63d7db,30), (5a4c37e07c459f246b63d993,23)])
(1514955600000,[(5a4b432c7c459f246b63d7db,25), (5a4c37e07c459f246b63d993,25), (5a4bd8c47c459f246b63d8d1,19)])
(1514959200000,[(5a4b432c7c459f246b63d7db,14), (5a4c37e07c459f246b63d993,14), (5a4bd8c47c459f246b63d8d1,14)])
(1514962800000,[(5a4b432c7c459f246b63d7db,22), (5a4bd8c47c459f246b63d8d1,10), (5a4c37e07c459f246b63d993,7)])
(1514966400000,[(5a4bf3767c459f246b63d910,9), (5a4c37e07c459f246b63d993,8), (5a4bd8c47c459f246b63d8d1,6)])
(1514970000000,[(5a4c37e07c459f246b63d993,13), (5a4b432c7c459f246b63d7db,13), (5a4bf3767c459f246b63d910,6)])
(1514973600000,[(5a4bd8c47c459f246b63d8d1,14), (5a4b432c7c459f246b63d7db,11), (5a4c37e07c459f246b63d993,11)])
(1514977200000,[(5a4e75c47c459f29e79b20d7,27), (5a4c37e07c459f246b63d993,24), (5a4b432c7c459f246b63d7db,22)])
(1514980800000,[(5a4e75c47c459f29e79b20d7,51), (5a4c37e07c459f246b63d993,35), (5a4bf03e7c459f246b63d908,29)])
(1514984400000,[(5a4e75c47c459f29e79b20d7,67), (5a4c37e07c459f246b63d993,49), (5a4bd8c47c459f246b63d8d1,36)])
(1514988000000,[(5a4c35f07c459f246b63d98e,95), (5a4c37e07c459f246b63d993,52), (5a4bf03e7c459f246b63d908,52)])
(1514991600000,[(5a4c35f07c459f246b63d98e,177), (5a4e75c47c459f29e79b20d7,65), (5a4c12927c459f246b63d95b,52)])
(1514995200000,[(5a4c35f07c459f246b63d98e,140), (5a4c12927c459f246b63d95b,58), (5a4e75be7c459f29e79b20c2,58)])
(1514998800000,[(5a4c35f07c459f246b63d98e,143), (5a4e75c47c459f29e79b20d7,55), (5a4c12927c459f246b63d95b,48)])
(1515002400000,[(5a4e76487c459f29e79b21a8,102), (5a4c35f07c459f246b63d98e,90), (5a4e76527c459f29e79b21ba,83)])
(1515006000000,[(5a4e76657c459f29e79b21da,430), (5a4e76527c459f29e79b21ba,79), (5a4e76487c459f29e79b21a8,69)])
(1515009600000,[(5a4e76657c459f29e79b21da,245), (5a4e76487c459f29e79b21a8,65), (5a4e76527c459f29e79b21ba,51)])
(1515013200000,[(5a4e76657c459f29e79b21da,230), (5a4e76a07c459f29e79b223a,141), (5a4e76527c459f29e79b21ba,60)])
(1515016800000,[(5a4e76657c459f29e79b21da,200), (5a4e76a07c459f29e79b223a,162), (5a4e76527c459f29e79b21ba,54)])
(1515020400000,[(5a4e76657c459f29e79b21da,136), (5a4e76a07c459f29e79b223a,75), (5a4e76527c459f29e79b21ba,45)])
(1515024000000,[(5a4e76657c459f29e79b21da,112), (5a4e76a07c459f29e79b223a,52), (5a4e76527c459f29e79b21ba,51)])
(1515027600000,[(5a4e76657c459f29e79b21da,64), (5a4e76527c459f29e79b21ba,49), (5a4e76a07c459f29e79b223a,42)])
(1515031200000,[(5a4e76657c459f29e79b21da,77), (5a4e76a07c459f29e79b223a,38), (5a4e76e67c459f29e79b22ba,36)])
(1515034800000,[(5a4e76657c459f29e79b21da,42), (5a4e76e67c459f29e79b22ba,37), (5a4e76a07c459f29e79b223a,36)])
