1513728000000	10907
1513728000000	9391
1513728000000	8465
1513728000000	4598
1513728000000	2613
1513728000000	2983
1513728000000	9724
1513728000000	22642
1513728000000	26614
1513728000000	23058
1513728000000	19538
1513728000000	16222
1516320000000	21780
1516320000000	20863
1516320000000	18748
1516320000000	10384
1516320000000	5773
1516320000000	6369
1516320000000	20872
1516320000000	42527
1516320000000	47423
1516320000000	38628
1516320000000	31692
1516320000000	29129
1518912000000	8438
1518912000000	8504
1518912000000	7550
1518912000000	4548
1518912000000	2456
1518912000000	2710
1518912000000	8986
1518912000000	17760
1518912000000	21514
1518912000000	15304
1518912000000	11164
1518912000000	9900
